"Tytuł,Zabawność,Fantasy-realizm,Stare filmy-nowe filmy,Wzruszenie,""Lekki vs ambitny (lekki 0, ambitny 1)"",Czy jest akcja?,Czy jest romantyczny?,Muzyka,Jak bardzo zależy Ci na ocenie krytyków?,Jak bardzo chcesz się bać?"
Joker,0.2,0.2,1,0.6,1,0.7,0.1,0.4,0.7,0.5
Ogniem i mieczem,0.2,0.8,0.5,0.7,0.6,0.7,0.6,0.5,0.7,0.3
Patch Adams,0.6,0.7,0.5,0.8,0.2,0.1,0.4,0.2,0.3,0.4
Titanic,0.2,0.9,0.5,0.8,0.3,0.7,1,0.6,0.9,0.2
Zapach kobiety,0.2,0.7,0.5,0.2,0.5,0.5,0.4,0.5,0.9,0.2
Seksmisja,1,0.2,0.4,0.1,0.3,0.3,0.1,0.1,0.8,0.1
Kogel-mogel,0.9,1,0.4,0.2,0.1,0.2,0.7,0.3,0.7,0.1
ET,0.3,0.1,0.4,0.7,0.4,0.4,0.1,0.2,1,0.1
Śniadanie u Tiffany'ego,0.4,0.7,0.2,0.6,0.3,0.2,0.7,0.7,0.9,0.1
Bonnie i Clyde,0.3,1,0.2,0.4,0.4,0.9,0.7,0.2,0.9,0.6
Memento,0.1,0.3,0.6,0.2,1,0.8,0.1,0.2,1,0.7
Pani Doubtfire,0.9,0.6,0.5,0.4,0.1,0.1,0.2,0.1,0.8,0.1
Rodzina Addamsów,0.9,0.1,0.5,0.2,0.1,0.3,0.3,0.5,0.7,0.2
Tramwaj zwany pożądaniem,0.2,0.8,0.1,0.4,0.7,0.5,0.6,0.2,1,0.4
Brzdąc,0.6,0.4,0.1,0.5,0.2,0.2,0.1,0.5,1,0.1
Ziemia niczyja,0.3,0.8,0.6,0.6,0.7,0.7,0.1,0.1,1,0.4
Kill Bill,0.4,0.3,0.6,0.2,0.7,0.9,0.3,0.3,0.9,0.6
Jak stracić chłopaka w 10 dni,1,0.8,0.6,0.1,0.1,0.1,0.9,0.1,0.5,0.1
Mój brat niedzwiedź,0.5,0.1,0.6,0.8,0.2,0.3,0.2,0.7,0.4,0.2
Diabeł ubiera się u Prady,0.4,0.7,0.7,0.4,0.2,0.2,0.2,0.1,0.8,0.1
Mamma Mia!,1,0.7,0.7,0.1,0.1,0.,0.9,1,0.6,0.1
Narzeczony mimo woli,1,0.7,0.8,0.6,0.1,0.1,1,0.1,0.5,0.1
Jeszcze dalej niż Północ,1,0.8,0.7,0.6,0.5,0.1,0.5,0.1,0.7,0.1
Alicja w Krainie Czarów,0.8,0.1,0.8,0.2,0.1,0.3,0.3,0.7,0.8,0.1
Kocha lubi szanuje,0.7,0.7,0.8,0.4,0.1,0.1,1,0.3,0.8,0.1
Grawitacja,0.2,0.6,0.9,0.7,0.7,0.4,0.2,0.4,1,0.5
Jeden dzień,0.3,0.8,0.8,0.8,0.2,0.1,1,0.2,0.4,0.1
Nietykalni,1,0.8,0.8,0.8,0.5,0.1,0.2,0.2,0.8,0.1
Bogowie,0.2,1,0.9,0.5,0.5,0.3,0.1,0.1,0.8,0.4
La La Land,0.6,0.5,0.9,0.7,0.1,0.3,1,1,1,0.1
Baby Driver,0.3,0.7,0.9,0.5,0.3,0.8,0.7,0.7,1,0.6
Cudowny chłopak,0.6,0.7,0.9,0.6,0.2,0.3,0.4,0.1,0.9,0.1
Pewnego razu w Hollywood,0.4,0.4,1,0.2,0.5,0.7,0.3,0.2,0.9,0.6
Mia i biały lew,0.6,0.4,1,0.6,0.1,0.4,0.4,0.4,0.9,0.4
Mój chłopak się żeni,0.9,0.7,0.5,0.6,0.1,0.1,0.8,0.4,0.8,0.1
Herkules,0.8,0.1,0.5,0.2,0.2,0.4,0.5,0.8,0.9,0.1
Mulan,0.8,0.2,0.5,0.2,0.2,0.3,0.3,0.7,0.9,0.1
Casablanca,0.2,0.8,0.1,0.8,0.6,0.4,1,0.7,1,0.5
Pretty Woman,0.6,0.8,0.5,0.5,0.1,0.4,0.9,0.4,0.7,0.1
Uwierz w ducha,0.6,0.3,0.4,0.6,0.1,0.1,0.9,0.4,0.8,0.2
Kiedy Harry poznał Sally,0.7,0.8,0.4,0.4,0.1,0.1,0.9,0.1,0.9,0.1
Grease,0.8,0.5,0.3,0.4,0.1,0.1,0.9,1,0.8,0.1
Klatka dla ptaków,0.8,0.6,0.5,0.6,0.4,0.2,0.5,0.3,0.8,0.1
Starsza pani musi zniknąć,0.8,0.6,0.6,0.2,0.2,0.5,0.2,0.1,0.4,0.4
Pamiętnik,0.2,0.7,0.6,1,0.4,0.2,1,0.2,0.6,0.1
Sekretne okno,0.1,0.6,0.6,0.2,0.3,0.8,0.1,0.1,0.5,0.8
To właśnie miłość,0.6,0.7,0.6,0.5,0.1,0.2,1,0.4,0.7,0.1
Charlie i fabryka czekolady,0.6,0.1,0.6,0.4,0.1,0.1,0.1,0.2,0.9,0.1
Sekretne życie pszczół,0.6,0.7,0.7,0.7,0.5,0.3,0.6,0.3,0.6,0.3
Lakier do włosów,0.7,0.5,0.7,0.1,0.1,0.1,0.5,1,1,0.1
Uprowadzona,0.1,0.6,0.7,0.3,0.7,0.9,0.1,0.2,0.6,0.8
Mój przyjaciel Hachiko,0.3,0.8,0.8,0.9,0.4,0.3,0.2,0.2,0.7,0.1
Kac Vegas,1,0.5,0.8,0.1,0.1,0.5,0.3,0.1,0.8,0.2
Deadpool,0.8,0.1,0.9,0.1,0.1,0.7,0.2,0.3,0.9,0.3
Zła kobieta,1,0.7,0.8,0.1,0.1,0.2,1,0.1,0.5,0.1
Och życie,0.6,0.7,0.8,0.7,0.1,0.2,1,0.1,0.3,0.2
Żona na niby,1,0.7,0.8,0.1,0.1,0.1,1,0.1,0.2,0.1
To tylko seks,1,0.7,0.8,0.1,0.1,0.2,1,0.1,0.7,0.1
Iluzja,0.3,0.3,0.9,0.1,0.4,0.3,0.3,0.1,0.5,0.5
Ex machina,0.2,0.3,0.9,0.2,0.8,0.6,0.4,0.2,1,0.5
Masz wiadomość,1,0.8,0.5,0.2,0.1,0.1,1,0.1,0.7,0.1
Cztery wesela i pogrzeb,0.8,0.8,0.5,0.4,0.1,0.2,0.8,0.4,1,0.1
Zakonnica w przebraniu,1,0.5,0.5,0.1,0.1,0.1,0.1,0.6,0.8,0.2
Bezwstydny Mortdecai,0.8,0.5,0.9,0.1,0.2,0.5,0.2,0.1,0.2,0.4
Ocean's 8,0.8,0.5,1,0.1,0.1,0.6,0.5,0.3,0.7,0.4
Notting Hill,0.6,0.8,0.5,0.4,0.2,0.4,1,0.2,0.9,0.1
Gwiezdne Wojny Nowa Nadzieja,0.2,0.1,0.3,0.4,0.1,0.8,0.2,0.6,1,0.1
Iron Man,0.8,0.2,0.7,0.4,0.2,0.6,0.3,0.1,1,0.1
LEGO PRZYGODA,0.7,0.1,0.9,0.4,0.1,0.3,0.1,0.6,1,0.1
Parasite,0.1,0.6,1,0.2,0.9,0.8,0.1,0.2,1,0.5
To my,0.1,0.3,1,0.1,0.7,0.8,0.1,0.4,1,0.8
Uciekaj!,0.1,0.3,0.9,0.1,0.8,0.7,0.1,0.3,1,0.7
To,0.1,0.1,0.9,0.5,0.6,1,0.1,0.3,0.9,1
Koszmar Z Ulicy Wiązów,0.1,0.6,0.4,0.1,0.2,0.9,0.1,0.1,1,0.8
Lśnienie,0.1,0.2,0.3,0.1,0.6,0.8,0.1,0.3,0.9,0.9
Obecność,0.1,0.1,0.9,0.1,0.5,0.9,0.1,0.4,0.9,1
Paranormal Activity,0.1,0.1,0.7,0.2,0.2,0.7,0.1,0.1,0.9,1
The Boy,0.1,0.6,0.9,0.2,0.6,0.8,0.1,0.2,0.3,1
Rec,0.1,0.1,0.7,0.2,0.5,0.7,0.1,0.1,0.9,1
Droga bez powrotu,0.1,0.1,0.6,0.2,0.5,0.7,0.1,0.2,0.4,1
